label,jumlah_gambar,percentage
clothing,491,4.36
shoes,487,4.32
newspaper,486,4.32
magazines,446,3.96
office_paper,436,3.87
eggshells,406,3.6
paper_cups,406,3.6
plastic_straws,404,3.59
cardboard_boxes,398,3.53
tea_bags,396,3.52
plastic_water_bottles,383,3.4
aluminum_food_cans,382,3.39
aluminum_soda_cans,381,3.38
plastic_shopping_bags,373,3.31
coffee_grounds,367,3.26
plastic_trash_bags,362,3.21
glass_food_jars,362,3.21
styrofoam_cups,362,3.21
disposable_plastic_cutlery,361,3.21
plastic_detergent_bottles,354,3.14
aerosol_cans,353,3.13
plastic_cup_lids,348,3.09
plastic_food_containers,344,3.05
plastic_soda_bottles,342,3.04
glass_cosmetic_containers,339,3.01
styrofoam_food_containers,334,2.97
glass_beverage_bottles,332,2.95
food_waste,299,2.65
cardboard_packaging,265,2.35
steel_food_cans,264,2.34
