label,jumlah_gambar,split
aerosol_cans,170,train
aluminum_food_cans,171,train
aluminum_soda_cans,170,train
cardboard_boxes,173,train
cardboard_packaging,135,train
clothing,175,train
coffee_grounds,173,train
disposable_plastic_cutlery,174,train
eggshells,174,train
food_waste,171,train
glass_beverage_bottles,170,train
glass_cosmetic_containers,167,train
glass_food_jars,168,train
magazines,174,train
newspaper,174,train
office_paper,173,train
paper_cups,172,train
plastic_cup_lids,167,train
plastic_detergent_bottles,172,train
plastic_food_containers,170,train
plastic_shopping_bags,173,train
plastic_soda_bottles,168,train
plastic_straws,171,train
plastic_trash_bags,170,train
plastic_water_bottles,165,train
shoes,175,train
steel_food_cans,132,train
styrofoam_cups,170,train
styrofoam_food_containers,171,train
tea_bags,170,train
aerosol_cans,36,validation
aluminum_food_cans,36,validation
aluminum_soda_cans,36,validation
cardboard_boxes,37,validation
cardboard_packaging,28,validation
clothing,37,validation
coffee_grounds,37,validation
disposable_plastic_cutlery,37,validation
eggshells,37,validation
food_waste,36,validation
glass_beverage_bottles,36,validation
glass_cosmetic_containers,35,validation
glass_food_jars,36,validation
magazines,37,validation
newspaper,37,validation
office_paper,37,validation
paper_cups,36,validation
plastic_cup_lids,35,validation
plastic_detergent_bottles,37,validation
plastic_food_containers,36,validation
plastic_shopping_bags,37,validation
plastic_soda_bottles,36,validation
plastic_straws,36,validation
plastic_trash_bags,36,validation
plastic_water_bottles,35,validation
shoes,37,validation
steel_food_cans,28,validation
styrofoam_cups,36,validation
styrofoam_food_containers,36,validation
tea_bags,36,validation
aerosol_cans,38,test
aluminum_food_cans,38,test
aluminum_soda_cans,38,test
cardboard_boxes,38,test
cardboard_packaging,30,test
clothing,38,test
coffee_grounds,38,test
disposable_plastic_cutlery,38,test
eggshells,38,test
food_waste,38,test
glass_beverage_bottles,37,test
glass_cosmetic_containers,37,test
glass_food_jars,37,test
magazines,38,test
newspaper,38,test
office_paper,38,test
paper_cups,38,test
plastic_cup_lids,37,test
plastic_detergent_bottles,38,test
plastic_food_containers,37,test
plastic_shopping_bags,38,test
plastic_soda_bottles,36,test
plastic_straws,38,test
plastic_trash_bags,38,test
plastic_water_bottles,36,test
shoes,38,test
steel_food_cans,29,test
styrofoam_cups,37,test
styrofoam_food_containers,38,test
tea_bags,38,test
